X,Y,osm_id,highway,name,oneway,junction,surface,layer,tunnel,covered,service,bicycle,access,foot,name:hi,old_name,motorroad,incline,level,conveying,lanes,footway
77.21952045,28.63238095,164675812,footway,,,,,,,,,,,,,,,,0,,,
77.2195451,28.63264645,660372915,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2195120659153,28.6326364578417,660097250,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2197749,28.6323681,164675814,footway,,,,,,,,,,,,,,,,0,,,
77.2194795,28.6327325,660097254,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2195171,28.6327532,660097251,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2198994057977,28.6326709671888,164675820,footway,,,,,,,,,,,,,,,,0,,,
77.2191416,28.63293835,164675808,footway,,,,,,,,,,,,,,,,0,,,
77.2172957497959,28.6327730643944,23133600,residential,,yes,,,,,,,,,,,,,,,,,
77.2209752826226,28.632807648963,23133486,tertiary,Rajiv Chowk,yes,roundabout,,,,,,,,,,,,,,,,
77.2202967510239,28.632942165845,80499763,footway,,,,,,,,,,,,,,,,0,,,
77.2194995569152,28.6330262181764,660097252,steps,,,,,-2,,,,,,,,,,,,,,
77.2196095,28.6329723,660372892,footway,,,,,-2,,,,,,,,,,,-1,,,
77.21959945,28.6330217,582355772,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2195826,28.63309755,660372868,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2196831310456,28.6330669736238,582355771,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2198032169329,28.6330705772818,660372890,footway,,,,,-2,,,,,,,,,,,-1,,,
77.2200508818817,28.6330102295471,164675811,footway,,,,,,,,,,,,,,,,0,,,
77.22132885,28.6303778,583501526,steps,,,,,,,,,,,,,,,,,,,
77.2219995172102,28.6306960146358,562340247,secondary,Outer Circle,yes,roundabout,asphalt,,,,,,,,आउटर सर्किल,,,,,,,
77.22123295,28.6319014,24577482,tertiary,Radial Road 7,yes,,,,,,,,,,,,,,,,,
77.22044025,28.6323403,164675822,footway,,,,,,,,,,,,,,,,0,,,
77.2204995,28.63241655,164675828,footway,,,,,,,,,,,,,,,,0,,,
77.2207792014287,28.6327873309112,80499772,footway,,,,,,,,,,,,,,,,0,,,
77.22101885,28.633033,164683609,footway,,,,,,,,,,,,,,,,,,,
77.2180683952604,28.6332782878776,692059277,footway,,,,,,,colonnade,,,,,,,,,,,,
77.2178960439115,28.6335747897684,611102335,corridor,,,,,,,,,,,,,,,,,,,
77.2177588837357,28.6336678579408,692059278,footway,,,,,,,colonnade,,,,,,,,,,,,
77.218777,28.6336708,164683605,footway,,,,,,,,,,,,,,,,,,,
77.218146850265,28.633672699849,24577487,tertiary,Radial Road 3,yes,,asphalt,,,,,,,,,,,,,,,
77.2182748,28.6338234,692059284,footway,,,,,,,colonnade,,,,,,,,,,,,
77.2185408929801,28.6339088442028,692059283,footway,,,,,,,colonnade,,,,,,,,,,,,
